transform	repeat	program	transform_status	verify	candidates_round1
add-if-zero	2	1_absolute	PASS	PASS	1
add-if-zero	2	2_swap	PASS	PASS	2
add-if-zero	2	3_mult_add	PASS	PASS	1
add-if-zero	2	3_while_multip	PASS	PASS	4
add-if-zero	2	4_big	PASS	PASS	5
add-if-zero	2	5_bubbleSort	PASS	PASS	8
add-if-zero	2	6_pure	PASS	PASS	3
add-if-one	2	1_absolute	PASS	PASS	1
add-if-one	2	2_swap	PASS	PASS	2
add-if-one	2	3_mult_add	PASS	PASS	1
add-if-one	2	3_while_multip	PASS	PASS	4
add-if-one	2	4_big	PASS	PASS	5
add-if-one	2	5_bubbleSort	PASS	PASS	8
add-if-one	2	6_pure	PASS	PASS	3
for-to-while	2	1_absolute	PASS	PASS	0
for-to-while	2	2_swap	PASS	PASS	0
for-to-while	2	3_mult_add	PASS	PASS	0
for-to-while	2	3_while_multip	PASS	PASS	0
for-to-while	2	4_big	PASS	PASS	1
for-to-while	2	5_bubbleSort	PASS	PASS	2
for-to-while	2	6_pure	PASS	PASS	1
add-if-zero	5	1_absolute	PASS	PASS	1
add-if-zero	5	2_swap	PASS	PASS	2
add-if-zero	5	3_mult_add	PASS	PASS	1
add-if-zero	5	3_while_multip	PASS	PASS	4
add-if-zero	5	4_big	PASS	PASS	5
add-if-zero	5	5_bubbleSort	PASS	PASS	8
add-if-zero	5	6_pure	PASS	PASS	3
add-if-one	5	1_absolute	PASS	PASS	1
add-if-one	5	2_swap	PASS	PASS	2
add-if-one	5	3_mult_add	PASS	PASS	1
add-if-one	5	3_while_multip	PASS	PASS	4
add-if-one	5	4_big	PASS	PASS	5
add-if-one	5	5_bubbleSort	PASS	PASS	8
add-if-one	5	6_pure	PASS	PASS	3
for-to-while	5	1_absolute	PASS	PASS	0
for-to-while	5	2_swap	PASS	PASS	0
for-to-while	5	3_mult_add	PASS	PASS	0
for-to-while	5	3_while_multip	PASS	PASS	0
for-to-while	5	4_big	PASS	PASS	1
for-to-while	5	5_bubbleSort	PASS	PASS	2
for-to-while	5	6_pure	PASS	PASS	1
