file,status
add_if1\1_absolute\1_absolute_site0_transformed_annotation_added.c,PASS
add_if1\1_absolute\1_absolute_site1_transformed_annotation_added.c,PASS
add_if1\1_absolute\1_absolute_site2_transformed_annotation_added.c,PASS
add_if1\1_absolute\1_absolute_site3_transformed_annotation_added.c,PASS
add_if1\1_absolute\1_absolute_site4_transformed_annotation_added.c,PASS
add_if1\2_swap\2_swap_site0_transformed_annotation_added.c,PASS
add_if1\2_swap\2_swap_site1_transformed_annotation_added.c,PASS
add_if1\3_mult_add\3_mult_add_site0_transformed_annotation_added.c,PASS
add_if1\3_mult_add\3_mult_add_site1_transformed_annotation_added.c,PASS
add_if1\3_mult_add\3_mult_add_site2_transformed_annotation_added.c,PASS
add_if1\3_mult_add\3_mult_add_site3_transformed_annotation_added.c,PASS
add_if1\3_mult_add\3_mult_add_site4_transformed_annotation_added.c,PASS
add_if1\3_while_multip\3_while_multip_site0_transformed_annotation_added.c,PASS
add_if1\3_while_multip\3_while_multip_site1_transformed_annotation_added.c,PASS
add_if1\3_while_multip\3_while_multip_site2_transformed_annotation_added.c,PASS
add_if1\3_while_multip\3_while_multip_site3_transformed_annotation_added.c,PASS
add_if1\3_while_multip\3_while_multip_site4_transformed_annotation_added.c,PASS
add_if1\4_big\4_big_site0_transformed_annotation_added.c,PASS
add_if1\4_big\4_big_site1_transformed_annotation_added.c,PASS
add_if1\4_big\4_big_site2_transformed_annotation_added.c,PASS
add_if1\4_big\4_big_site3_transformed_annotation_added.c,PASS
add_if1\4_big\4_big_site4_transformed_annotation_added.c,PASS
add_if1\4_big\4_big_site5_transformed_annotation_added.c,PASS
add_if1\5_bubbleSort\5_bubbleSort_site0_transformed_annotation_added.c,PASS
add_if1\5_bubbleSort\5_bubbleSort_site1_transformed_annotation_added.c,PASS
add_if1\5_bubbleSort\5_bubbleSort_site2_transformed_annotation_added.c,PASS
add_if1\5_bubbleSort\5_bubbleSort_site3_transformed_annotation_added.c,PASS
add_if1\5_bubbleSort\5_bubbleSort_site4_transformed_annotation_added.c,PASS
add_if1\5_bubbleSort\5_bubbleSort_site5_transformed_annotation_added.c,PASS
add_if1\5_bubbleSort\5_bubbleSort_site6_transformed_annotation_added.c,PASS
add_if1\5_bubbleSort\5_bubbleSort_site7_transformed_annotation_added.c,PASS
add_if1\6_pure\6_pure_site0_transformed_annotation_added.c,FAIL
add_if1\6_pure\6_pure_site1_transformed_annotation_added.c,FAIL
add_if1\6_pure\6_pure_site2_transformed_annotation_added.c,FAIL
add_if1\6_pure\6_pure_site3_transformed_annotation_added.c,FAIL
deepen_while_only\3_while_multip\3_while_multip_site0_transformed_annotation_added.c,FAIL
for2while\4_big\4_big_site0_transformed_annotation_added.c,FAIL
for2while\5_bubbleSort\5_bubbleSort_site0_transformed_annotation_added.c,FAIL
for2while\5_bubbleSort\5_bubbleSort_site1_transformed_annotation_added.c,FAIL
for2while\6_pure\6_pure_site0_transformed_annotation_added.c,FAIL
if0error\1_absolute\1_absolute_site0_transformed_annotation_added.c,FAIL
if0error\1_absolute\1_absolute_site1_transformed_annotation_added.c,FAIL
if0error\1_absolute\1_absolute_site2_transformed_annotation_added.c,FAIL
if0error\1_absolute\1_absolute_site3_transformed_annotation_added.c,FAIL
if0error\1_absolute\1_absolute_site4_transformed_annotation_added.c,FAIL
if0error\1_absolute\1_absolute_site5_transformed_annotation_added.c,FAIL
if0error\2_swap\2_swap_site0_transformed_annotation_added.c,FAIL
if0error\2_swap\2_swap_site1_transformed_annotation_added.c,FAIL
if0error\2_swap\2_swap_site2_transformed_annotation_added.c,FAIL
if0error\2_swap\2_swap_site3_transformed_annotation_added.c,FAIL
if0error\3_mult_add\3_mult_add_site0_transformed_annotation_added.c,FAIL
if0error\3_mult_add\3_mult_add_site1_transformed_annotation_added.c,FAIL
if0error\3_mult_add\3_mult_add_site2_transformed_annotation_added.c,FAIL
if0error\3_mult_add\3_mult_add_site3_transformed_annotation_added.c,FAIL
if0error\3_mult_add\3_mult_add_site4_transformed_annotation_added.c,FAIL
if0error\3_mult_add\3_mult_add_site5_transformed_annotation_added.c,FAIL
if0error\3_while_multip\3_while_multip_site0_transformed_annotation_added.c,FAIL
if0error\3_while_multip\3_while_multip_site1_transformed_annotation_added.c,FAIL
if0error\3_while_multip\3_while_multip_site2_transformed_annotation_added.c,FAIL
if0error\3_while_multip\3_while_multip_site3_transformed_annotation_added.c,FAIL
if0error\3_while_multip\3_while_multip_site4_transformed_annotation_added.c,FAIL
if0error\3_while_multip\3_while_multip_site5_transformed_annotation_added.c,FAIL
if0error\3_while_multip\3_while_multip_site6_transformed_annotation_added.c,FAIL
if0error\3_while_multip\3_while_multip_site7_transformed_annotation_added.c,FAIL
if0error\4_big\4_big_site0_transformed_annotation_added.c,FAIL
if0error\4_big\4_big_site1_transformed_annotation_added.c,FAIL
if0error\4_big\4_big_site2_transformed_annotation_added.c,FAIL
if0error\4_big\4_big_site3_transformed_annotation_added.c,FAIL
if0error\4_big\4_big_site4_transformed_annotation_added.c,FAIL
if0error\4_big\4_big_site5_transformed_annotation_added.c,FAIL
if0error\4_big\4_big_site6_transformed_annotation_added.c,FAIL
if0error\4_big\4_big_site7_transformed_annotation_added.c,FAIL
if0error\4_big\4_big_site8_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site0_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site10_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site1_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site2_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site3_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site4_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site5_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site6_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site7_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site8_transformed_annotation_added.c,FAIL
if0error\5_bubbleSort\5_bubbleSort_site9_transformed_annotation_added.c,FAIL
if0error\6_pure\6_pure_site0_transformed_annotation_added.c,FAIL
if0error\6_pure\6_pure_site1_transformed_annotation_added.c,FAIL
if0error\6_pure\6_pure_site2_transformed_annotation_added.c,FAIL
if0error\6_pure\6_pure_site3_transformed_annotation_added.c,FAIL
if0error\6_pure\6_pure_site4_transformed_annotation_added.c,FAIL
if0error\6_pure\6_pure_site5_transformed_annotation_added.c,FAIL
if0error\6_pure\6_pure_site6_transformed_annotation_added.c,FAIL
to_method\3_while_multip\3_while_multip_site0_transformed_annotation_added.c,FAIL
to_method\4_big\4_big_site0_transformed_annotation_added.c,FAIL
to_method\4_big\4_big_site1_transformed_annotation_added.c,FAIL
to_method\6_pure\6_pure_site0_transformed_annotation_added.c,FAIL
to_recursive\3_while_multip\3_while_multip_site0_transformed_annotation_added.c,FAIL
