program	variant	transformation	verification	vs_original
1_absolute	original	-	PASS	-
1_absolute	site-0	PASS	PASS	MATCH
1_absolute	site-1	PASS	PASS	MATCH
1_absolute	site-2	PASS	PASS	MATCH
2_swap	original	-	PASS	-
2_swap	site-0	PASS	FAIL	CHANGED
2_swap	site-1	PASS	FAIL	CHANGED
3_mult_add	original	-	PASS	-
3_mult_add	site-0	PASS	PASS	MATCH
3_mult_add	site-1	PASS	PASS	MATCH
3_mult_add	site-2	PASS	PASS	MATCH
3_while_multip	original	-	PASS	-
3_while_multip	site-0	PASS	PASS	MATCH
3_while_multip	site-1	PASS	PASS	MATCH
3_while_multip	site-2	PASS	PASS	MATCH
3_while_multip	site-3	PASS	PASS	MATCH
4_big	original	-	PASS	-
4_big	site-0	PASS	PASS	MATCH
4_big	site-1	PASS	PASS	MATCH
4_big	site-2	PASS	PASS	MATCH
4_big	site-3	PASS	PASS	MATCH
4_big	site-4	PASS	PASS	MATCH
5_bubbleSort	original	-	PASS	-
5_bubbleSort	site-0	PASS	FAIL	CHANGED
5_bubbleSort	site-1	PASS	FAIL	CHANGED
5_bubbleSort	site-2	PASS	FAIL	CHANGED
5_bubbleSort	site-3	PASS	FAIL	CHANGED
5_bubbleSort	site-4	PASS	FAIL	CHANGED
5_bubbleSort	site-5	PASS	FAIL	CHANGED
5_bubbleSort	site-6	PASS	FAIL	CHANGED
5_bubbleSort	site-7	PASS	FAIL	CHANGED
6_pure	original	-	PASS	-
6_pure	site-0	PASS	FAIL	CHANGED
6_pure	site-1	PASS	FAIL	CHANGED
6_pure	site-2	PASS	FAIL	CHANGED
